id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at
2,"Kiemele, Cody",10/10/25,79.84102,11.02556,-1.82492,ChangeUp,Sweeper,NA,48:13.5,5e2f8d50-a629-11f0-ae75-978fb1879089,2025
3,"Kiemele, Cody",10/2/25,81.57706,13.5119,-0.02335,ChangeUp,Sweeper,NA,48:20.1,72c338a0-9fe1-11f0-85e9-e9560c876798,2025
4,"Gregory, Billy",10/2/25,80.2819,20.55533,7.33126,Cutter,ChangeUp,NA,49:16.7,89f7cd40-9fde-11f0-85e9-e9560c876798,2025
5,"Kiemele, Cody",10/10/25,81.0103,6.63288,3.95689,Cutter,Sweeper,NA,50:12.2,c2d2eba0-a62c-11f0-ae75-978fb1879089,2025
6,"Lewis, JT",10/10/25,79.42073,-10.53414,3.84843,Sweeper,ChangeUp,NA,50:36.5,422d7170-a634-11f0-8809-a53d21e14008,2025
7,"Limas, Jacob",10/3/25,91.17418,8.51166,8.95638,Fastball,Sinker,NA,51:04.0,d7983590-a0a5-11f0-ab93-d3d7d90e7a19,2025
8,"Lyon, Andrew",10/2/25,90.31241,16.74304,12.85123,Sinker,Fastball,NA,52:12.4,b845e8e0-9fe2-11f0-85e9-e9560c876798,2025
9,"Lyon, Andrew",10/2/25,87.91386,16.04021,12.24068,Sinker,Fastball,NA,52:12.4,03d4ddc0-9fe3-11f0-85e9-e9560c876798,2025
10,"Lyon, Andrew",10/10/25,89.46159,15.21977,13.00509,Fastball,Fastball,NA,52:12.4,5331df60-a62a-11f0-ae75-978fb1879089,2025
11,"Moeller, Luke",10/2/25,87.75224,2.57811,9.23658,Cutter,Slider,NA,53:18.6,93750ad0-9fdf-11f0-85e9-e9560c876798,2025
12,"Moeller, Luke",10/2/25,78.46427,-5.67961,0.07831,Cutter,Slider,NA,53:18.6,dda029f0-9fdf-11f0-85e9-e9560c876798,2025
13,"Moeller, Luke",10/2/25,77.84905,-8.19748,0.07488,Cutter,Slider,NA,53:18.6,36abba00-9fe0-11f0-85e9-e9560c876798,2025
14,"Moeller, Luke",10/10/25,79.86123,-4.92252,2.81122,Slider,Slider,NA,53:18.6,d8ee6e20-a634-11f0-8809-a53d21e14008,2025
15,"Moeller, Luke",10/10/25,79.78853,-8.77815,-2.2589,Slider,Slider,NA,53:18.6,053bd490-a635-11f0-8809-a53d21e14008,2025
16,"Moeller, Luke",10/10/25,76.8901,-9.2015,-0.00335,Slider,Slider,NA,53:18.6,78f0a640-a635-11f0-8809-a53d21e14008,2025
17,"Moeller, Luke",10/10/25,80.57819,-6.0524,1.75024,Slider,Slider,NA,53:18.6,d319b440-a635-11f0-8809-a53d21e14008,2025
18,"Moeller, Luke",10/10/25,78.59234,-8.8239,3.11087,Slider,Slider,NA,53:18.6,14486920-a636-11f0-8809-a53d21e14008,2025
19,"Smith, Jace",10/3/25,88.48236,14.1415,4.57193,Sinker,Sinker,NA,54:38.2,13ccade0-a0ae-11f0-ab93-d3d7d90e7a19,2025
20,"Smith, Jace",10/10/25,91.71738,16.10981,12.00091,Fastball,Sinker,NA,54:38.2,42018e30-a62e-11f0-ae75-978fb1879089,2025
21,"Smith, Jace",10/10/25,92.36785,18.33918,10.41942,Sinker,Sinker,NA,54:38.2,9b20f460-a62e-11f0-ae75-978fb1879089,2025
22,"Smith, Jace",10/10/25,89.32188,14.38505,11.19449,Sinker,Sinker,NA,54:38.2,d3a815c0-a62e-11f0-ae75-978fb1879089,2025
23,"Smith, Jace",10/10/25,88.44554,10.62091,8.12422,Fastball,Sinker,NA,54:38.2,a75cae50-a632-11f0-8809-a53d21e14008,2025
24,"Smith, Jace",10/10/25,87.363,15.93091,6.85851,Sinker,Sinker,NA,54:38.2,b17bedb0-a632-11f0-8809-a53d21e14008,2025
25,"Smith, Jace",10/10/25,88.25722,16.18969,9.59237,Fastball,Sinker,NA,54:38.2,d2f2f9c0-a632-11f0-8809-a53d21e14008,2025
26,"Smith, Jace",10/10/25,88.33988,16.76048,8.67445,Sinker,Sinker,NA,54:38.2,e4a35390-a632-11f0-8809-a53d21e14008,2025
27,"Smith, Jace",10/10/25,91.45449,16.33166,8.14221,Sinker,Sinker,NA,54:38.2,ed8f6a20-a632-11f0-8809-a53d21e14008,2025
