session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
7d1748cb-c279-4549-b124-8d6820b496de,30354b83-5df6-4815-b6d9-8345ee85b33b,VideoClip2,ManualCamera,ManualUpload,ManualVideo,NA,NA,https://res.cloudinary.com/pitchingcoachu/video/upload/v1768973029/0_vewhaa.mov,0_vewhaa,2026-01-21 05:23:51
28b6e291-16e0-426d-9ef2-cbae8e0c677d,14d60d51-3741-4e81-bdd5-5180d440d37d,VideoClip,,,EdgertronicVideos,Plays/14d60d51-3741-4e81-bdd5-5180d440d37d/Edgertronic/1d2329a0-8cdc-48ef-a1bf-8b6f4c3ef3bf.mov,mkxRqXUybaIkxd/F/4uQ/g==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636707/trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/14d60d51-374.mp4,trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/14d60d51-374,2026-01-28T21:50:53Z
28b6e291-16e0-426d-9ef2-cbae8e0c677d,483cd972-efb8-4d9d-82af-68894e4c0282,VideoClip,,,EdgertronicVideos,Plays/483cd972-efb8-4d9d-82af-68894e4c0282/Edgertronic/1e7758ee-b002-4b88-9422-2568e7068967.mov,Zj5pvxoIuhvXqEtQGo0wTg==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636709/trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/483cd972-efb.mp4,trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/483cd972-efb,2026-01-28T21:50:54Z
28b6e291-16e0-426d-9ef2-cbae8e0c677d,518f5083-2ec5-47f1-8d6e-168e71e670ca,VideoClip,,,EdgertronicVideos,Plays/518f5083-2ec5-47f1-8d6e-168e71e670ca/Edgertronic/584ab7e9-ae43-428c-9607-b6974374b967.mov,sru1bpmo73Nf3BsjjtV44A==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636711/trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/518f5083-2ec.mp4,trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/518f5083-2ec,2026-01-28T21:50:54Z
28b6e291-16e0-426d-9ef2-cbae8e0c677d,65483b4c-d1c2-4089-84f9-8393cce9b6a0,VideoClip,,,EdgertronicVideos,Plays/65483b4c-d1c2-4089-84f9-8393cce9b6a0/Edgertronic/05567cf2-c725-4ac1-8143-ba77436b6d15.mov,8N4P8Np5XI+cAO8suZvzzA==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636713/trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/65483b4c-d1c.mp4,trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/65483b4c-d1c,2026-01-28T21:50:54Z
28b6e291-16e0-426d-9ef2-cbae8e0c677d,ba745ca0-63af-469d-bff6-94d0193569ec,VideoClip,,,EdgertronicVideos,Plays/ba745ca0-63af-469d-bff6-94d0193569ec/Edgertronic/e8afc380-cc12-4132-b3bc-9d89fd710df2.mov,zuhVQ11rIvP58mGT4YKndw==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636716/trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/ba745ca0-63a.mp4,trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/ba745ca0-63a,2026-01-28T21:50:55Z
28b6e291-16e0-426d-9ef2-cbae8e0c677d,f970d080-4fd5-488a-b7a7-9a87eda95649,VideoClip,,,EdgertronicVideos,Plays/f970d080-4fd5-488a-b7a7-9a87eda95649/Edgertronic/0e03b4dc-b979-4751-b04c-a747133040ed.mov,y3VqyfRU26LpvlOIgYJyvw==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636718/trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/f970d080-4fd.mp4,trackman/28b6e291-16e0-426d-9ef2-cbae8e0c677d/VideoClip/f970d080-4fd,2026-01-28T21:50:55Z
93d907bd-d4b0-4b17-8c59-415b07dcd1d2,0414ae94-3680-49ef-8664-1a517c80b7c0,VideoClip,,,EdgertronicVideos,Plays/0414ae94-3680-49ef-8664-1a517c80b7c0/Edgertronic/71980d7f-75d1-44a2-a64f-25a10ad8c30c.mov,OfXoIAfRNrB4NJpwBIfEgA==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636723/trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/0414ae94-368.mp4,trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/0414ae94-368,2026-01-28T21:50:58Z
93d907bd-d4b0-4b17-8c59-415b07dcd1d2,1f0d56f2-250f-4152-aa84-a4eb337e1780,VideoClip,,,EdgertronicVideos,Plays/1f0d56f2-250f-4152-aa84-a4eb337e1780/Edgertronic/2ef76cb9-e4cc-430a-87c7-dab56c3f1bd6.mov,QWcAdZUGHP107UbFCausFQ==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636726/trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/1f0d56f2-250.mp4,trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/1f0d56f2-250,2026-01-28T21:50:58Z
93d907bd-d4b0-4b17-8c59-415b07dcd1d2,228624b2-1a78-4692-aa14-48d81ca94981,VideoClip,,,EdgertronicVideos,Plays/228624b2-1a78-4692-aa14-48d81ca94981/Edgertronic/8a602988-2810-42ec-a7a4-3ba9da0f2e4b.mov,K5Q8owOzshs/JofHo88kOA==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636728/trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/228624b2-1a7.mp4,trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/228624b2-1a7,2026-01-28T21:50:58Z
93d907bd-d4b0-4b17-8c59-415b07dcd1d2,35b726a5-f934-47a1-8bfd-54a518effb2d,VideoClip,,,EdgertronicVideos,Plays/35b726a5-f934-47a1-8bfd-54a518effb2d/Edgertronic/2dbdd4fd-85db-44bb-8ffc-1124bc941c56.mov,k8ld2dj2uEH14iVYw/cS1g==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1769636731/trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/35b726a5-f93.mp4,trackman/93d907bd-d4b0-4b17-8c59-415b07dcd1d2/VideoClip/35b726a5-f93,2026-01-28T21:50:58Z
