PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,EffectiveVelo,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,MaxHeight,MeasuredDuration,ContactPositionX,ContactPositionY,ContactPositionZ,GameID,PitchUID
11,2/16/2026,0:34:07,3,4,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,1,Top,1,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,80.56437872,-0.053528556,2.189782246,2063.93088,294.4552467,3:45,6.031407844,-2.30571467,6.3334513,-41.60773572,0.273074946,2.724411415,2.514814333,-0.061577339,74.61854924,-7.872180652,2.704719917,0.465778085,86.72083819,35.79467821,-55.92171772,2764.742911,58.72276901,61.24339651,-93.75839122,303.5378704,271.8289267,-58.39517208,4.577380002,-0.920618383,0.160807785,2.145163177,50.00147771,6.007825128,-4.560170935,-117.3368177,-1.232038902,-1.289894523,21.01069751,-31.94429795,GCU,NU,Sloan Park,MLB,College Baseball,80.87633965,5.945829484,1.653934654,2.453570768,-0.058635824,70,3.554940224,1.653934654,2.453570768,-0.058635824,837216,6015890d-c472-33c4-9020-69c6cb6e9e09
12,2/16/2026,0:34:31,3,5,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.18664952,-2.602918627,4.410650101,2160.651407,310.277271,4:15,6.136022996,-2.172756213,6.644423563,-42.26972662,-2.659640366,2.014182287,0.229745066,2.039871276,77.39328452,-10.45260526,4.790007336,0.452975179,,,,,,,,,,,,0.077453815,-0.711491599,1.874626093,50.00270387,5.94051562,-9.369268667,-120.7453949,-6.674696314,0.114647261,22.70237423,-33.23010586,GCU,NU,Sloan Park,MLB,College Baseball,83.63514902,5.793364998,-0.7235,-0.338917634,-2.291734476,,,,,,837216,fc1c1625-769d-3b4e-a0d1-b2acb809be02
13,2/16/2026,0:34:56,3,6,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,1,Top,1,2,2,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.83992008,-1.08685076,3.224410765,1951.5116,132.100295,10:30,6.101857515,-2.573109281,6.406749878,-21.95755674,10.61979405,-15.30836538,3.272690306,-0.881141532,83.66501379,-5.247495519,0.315708828,0.410799015,77.26352673,10.99532214,-166.2690177,130.7593193,,,,138.8395727,10.22992894,-166.4579979,1.85471594,9.339245506,6.159868271,2.34999812,50.00561587,6.013910145,-7.056831612,-133.5397932,-3.205713604,16.80065433,29.86506979,-21.09968012,GCU,NU,Sloan Park,MLB,College Baseball,91.82222327,8.174906294,0.39155971,3.240824151,0.584210436,10,0.097875118,0.39155971,3.240824151,0.584210436,837216,724b95e4-ae54-3e74-9b0e-f2e9ff5114ff
14,2/16/2026,0:35:19,3,7,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Strikeout,1,0,,81.41282405,-2.18517804,2.420388457,2159.341614,303.5046455,4:00,6.218095593,-2.346511908,6.569862455,-41.02752083,-0.809337455,4.206223921,0.795405293,0.223716499,77.45297314,-9.752336075,3.205771026,0.456438991,,,,,,,,,,,,-1.823311883,-0.008832129,2.178390502,50.00066547,6.048265586,-5.131997318,-118.6461481,-5.671367372,-2.676913901,16.28097061,-32.18262742,GCU,NU,Sloan Park,MLB,College Baseball,82.8913085,3.959850902,-0.7235,0.333105915,-0.371970446,,,,,,837216,0da02060-96b6-37fd-831d-416d6f8420ce
15,2/16/2026,0:35:53,4,1,"Frey, Chase",833384,Left,GCU,"Overbeek, Josh",802336,Right,NU,Undefined,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.02312886,-2.117880298,3.05748231,1897.751158,141.0750117,10:45,6.69535623,-1.805148471,6.547584893,-15.74003598,15.72399536,-10.12553674,3.440852298,0.157264454,86.59125222,-5.045029748,1.166642238,0.40371854,,,,,,,,,,,,6.090612234,8.978727661,1.599031019,50.00206912,6.541482061,-6.841999834,-134.0579082,-5.458765585,11.43910033,20.31313932,-15.30880965,GCU,NU,Sloan Park,MLB,College Baseball,93.67844897,5.431876643,-0.7235,3.142047802,-0.221008392,,,,,,837216,a17be2f8-8c38-3da4-8a24-71df80abb1fb
16,2/16/2026,0:36:15,4,2,"Frey, Chase",833384,Left,GCU,"Overbeek, Josh",802336,Right,NU,Undefined,1,Top,2,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.78677304,-2.466300097,3.382943399,1817.579919,147.7285109,11:00,6.76592785,-1.735974757,6.488600855,-15.01431948,16.0149114,-6.968719813,3.249349353,0.792372071,87.19400613,-5.255058188,2.081716979,0.400919349,,,,,,,,,,,,4.450163883,9.227260418,1.502443403,50.00394994,6.585806978,-7.764266767,-135.0797572,-6.302049968,8.473272413,21.10473405,-14.60842501,GCU,NU,Sloan Park,MLB,College Baseball,94.2293424,5.592766915,-0.7235,3.023200993,-0.879093871,,,,,,837216,c6cd6d0f-906b-39e5-91fa-ec096bb4e1da
17,2/16/2026,0:36:35,4,3,"Frey, Chase",833384,Left,GCU,"Overbeek, Josh",802336,Right,NU,Undefined,1,Top,2,0,2,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,82.52007071,-3.474700036,3.870920715,2049.155423,327.9358489,5:00,6.361069145,-1.862387332,6.602495638,-36.99090079,2.321792064,2.378763693,0.091892037,1.886962643,78.59635111,-10.25042191,4.313670755,0.451271502,,,,,,,,,,,,-0.556712967,1.976086135,1.597745368,50.00326553,6.106312511,-8.184225714,-119.9660641,-8.339185855,-0.834614345,16.43771668,-29.20163761,GCU,NU,Sloan Park,MLB,College Baseball,83.89170364,3.923719599,-0.7235,-0.509471313,-2.132423538,,,,,,837216,b725076f-ad36-3ace-8f65-6dee55d7cd72
18,2/16/2026,0:37:11,5,1,"Frey, Chase",833384,Left,GCU,"Carey, Dylan",822406,Right,NU,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.65458712,-2.934703511,2.176679876,2256.249328,319.7502434,4:45,6.420699163,-2.100575734,6.580403446,-41.65223649,-0.270977854,2.639930059,0.258119027,0.115014437,76.17073437,-10.63217476,2.672189918,0.462991864,,,,,,,,,,,,-0.959520313,0.512298953,1.950404006,50.00177056,6.199822099,-4.534945317,-117.4177604,-7.160323156,-1.365012373,18.08517197,-31.43851821,GCU,NU,Sloan Park,MLB,College Baseball,81.73382927,4.48385275,-0.7235,-0.310042572,-0.253766998,,,,,,837216,aff89a72-abfe-3ffd-9a03-1e3055e8cc98
19,2/16/2026,0:37:30,5,2,"Frey, Chase",833384,Left,GCU,"Carey, Dylan",822406,Right,NU,Undefined,1,Top,2,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.11158749,0.290549451,1.370022529,1860.673901,145.2280425,10:45,6.760329204,-1.956325617,6.47979317,-21.39618017,11.25689408,-8.732795684,5.244091956,-1.425928803,83.88929168,-3.750557074,-0.281207374,0.411276173,,,,,,,,,,,,5.130250182,6.089154811,1.864411741,50.00426175,6.770577303,-2.908403833,-132.7739593,0.019246813,9.233477553,26.30289774,-21.21656546,GCU,NU,Sloan Park,MLB,College Baseball,91.83836314,7.222295811,-0.7235,5.089679283,1.438829789,,,,,,837216,a834231f-add1-33b1-9aba-fe49a216ce03
20,2/16/2026,0:37:55,5,3,"Frey, Chase",833384,Left,GCU,"Carey, Dylan",822406,Right,NU,Undefined,1,Top,2,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.15016001,-3.364356694,4.629764407,2029.496033,134.4830186,10:30,6.268138941,-2.189969441,6.643536059,-21.06511916,11.51985821,-16.14321358,1.43000986,0.711476483,84.99547482,-7.275202736,1.603939812,0.410847098,,,,,,,,,,,,9.840122762,7.101637501,1.885467169,50.00122809,6.030772494,-10.21767873,-132.3069225,-8.447700721,17.7948677,22.91129208,-19.32807673,GCU,NU,Sloan Park,MLB,College Baseball,92.21354648,6.154685196,-0.7235,1.124110613,-0.77450433,,,,,,837216,1a63bd10-83f4-3e1b-a5eb-dec6c37e8d95
