PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,EffectiveVelo,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,MaxHeight,MeasuredDuration,ContactPositionX,ContactPositionY,ContactPositionZ,GameID,PitchUID
82,2/16/2026,1:11:34,4,5,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,3,Top,2,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,81.71618136,0.308543845,2.496467576,2212.89541,302.986622,4:00,6.154765955,-2.237423957,6.318593332,-46.33630367,-5.513512773,0.252808064,2.57755312,0.084112297,75.57430425,-8.406425589,2.54424844,0.459857059,85.12953896,24.92740873,-57.43326108,1749.775535,,,,278.0150397,101.7627215,-64.97224961,3.972573242,0.533656155,-3.102450065,2.055208839,50.00481578,6.155420388,-5.193757609,-118.9670008,-0.623876369,0.767228372,22.16247612,-36.64150473,GCU,NU,Sloan Park,MLB,College Baseball,81.89776977,6.14187711,1.404893343,2.597033216,-0.078598155,45,1.028723955,1.404893343,2.597033216,-0.078598155,837216,d551df6c-49f6-30a7-8339-a90877d16e9b
83,2/16/2026,1:11:56,4,6,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,3,Top,2,1,2,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.49031774,-1.399515114,4.17387906,1989.713644,134.7468023,10:30,6.254355547,-2.24618695,6.470715505,-22.86883245,10.10220566,-15.98130481,3.063260211,0.261539085,83.1631153,-5.730207352,1.137651495,0.413273751,80.71693975,24.18830706,-129.0072455,1404.576056,-70.11775395,32.59393868,-84.84673874,236.1867272,219.683684,-129.6582131,3.221241211,10.01728946,5.986503752,1.959767834,50.00188335,6.14500388,-9.211704135,-132.8553951,-3.945282901,17.79447817,30.12726314,-21.53763917,GCU,NU,Sloan Park,MLB,College Baseball,91.38150135,8.327202441,0.110057475,3.007176448,-0.36131484,33,2.557922006,0.110057475,3.007176448,-0.36131484,837216,5015857f-d07e-351d-a496-53e24b8e6d60
84,2/16/2026,1:12:18,4,7,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,3,Top,2,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.75846757,-1.294998786,4.574201188,1999.299334,139.1913912,10:45,6.409946705,-2.233611719,6.585066999,-17.08933069,14.72248742,-10.90013281,3.799068619,1.058311044,84.99217688,-4.51510676,2.517125354,0.405943654,,,,,,,,,,,,7.19261802,8.44006619,1.925862296,50.00418492,6.313236603,-10.44088155,-134.7165644,-3.582267402,13.27589452,28.1549861,-16.59945819,GCU,NU,Sloan Park,MLB,College Baseball,93.22319894,7.766290687,-0.7235,3.558198582,-1.185759704,,,,,,837216,688ec6ac-3ab7-3fec-92f9-3d0cf6ef5052
85,2/16/2026,1:12:37,4,8,"Frey, Chase",833384,Left,GCU,"Sanderson, Case",806508,Left,NU,Undefined,3,Top,2,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Single ,0,0,,81.22147049,-1.153425767,2.422489621,2259.177391,308.2181023,4:15,6.10125616,-2.3059387,6.223843358,-44.95101536,-3.647585223,1.318120515,1.291104686,0.040144336,75.41469997,-9.569528005,2.67168099,0.462556269,74.44544071,-55.06909648,11.22660702,5630.002014,,,,2.271927623,2.219050866,2.642886968,0.477038205,-0.076306316,-1.688004955,2.124450558,50.00094648,5.993869632,-5.03787763,-118.2371647,-3.602944618,-0.107836596,21.71350413,-34.56880173,GCU,NU,Sloan Park,MLB,College Baseball,81.28054872,5.806770518,1.408402554,1.286711721,-0.066129106,1,0.01318419,1.408402554,1.286711721,-0.066129106,837216,e5de72b9-0d19-3e12-b988-c44eceeb19f2
86,2/16/2026,1:13:18,5,1,"Frey, Chase",833384,Left,GCU,"Overbeek, Josh",802336,Right,NU,Undefined,3,Top,2,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Single ,0,0,,79.9631937,-0.236096689,2.385783568,2172.847653,299.1596999,4:00,6.262159979,-2.127369054,6.493270067,-47.25983942,-4.663160654,1.060572514,2.107152554,0.152135187,74.15475516,-9.104462853,2.586337139,0.469741987,73.01043939,21.62521276,3.119611241,1149.876822,109.7378457,27.87650254,9.296171277,222.3864411,222.3864402,7.54791477,3.259475586,0.055303403,-2.487729794,1.960151397,50.00523743,6.223375586,-4.879307046,-116.4308457,-1.743597514,0.076809109,21.06684942,-35.60761147,GCU,NU,Sloan Park,MLB,College Baseball,80.42922861,5.808438541,1.188281458,2.074690323,-0.206917827,28,2.787475586,1.188281458,2.074690323,-0.206917827,837216,a4801948-1f15-3039-ad59-676b0a2ab01e
87,2/16/2026,1:14:22,6,1,"Frey, Chase",833384,Left,GCU,"Carey, Dylan",822406,Right,NU,Undefined,3,Top,2,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,92.22531238,-4.265941868,3.169538847,1788.717004,143.9483255,10:45,6.639912324,-1.820258033,6.487668629,-14.92387448,17.13772783,-7.785377252,1.473026951,0.443469546,85.24629457,-7.047358741,1.701461221,0.407534259,85.12177546,-38.15488461,-72.43052696,4752.382748,,,,2.378283798,2.241933393,-64.21955712,0.432700195,5.04942567,10.48494207,1.602014338,50.00452112,6.333460897,-7.173030736,-133.877715,-10.46038557,9.260206883,26.14277101,-12.95081452,GCU,NU,Sloan Park,MLB,College Baseball,92.69636109,6.979017814,0.50988229,1.366067705,-0.485103703,1,0.016291976,0.50988229,1.366067705,-0.485103703,837216,3647779e-c6d2-37eb-ad15-b4771834c940
88,2/16/2026,1:14:48,6,2,"Frey, Chase",833384,Left,GCU,"Carey, Dylan",822406,Right,NU,Undefined,3,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.50742992,-2.209923209,3.473815686,2075.004888,310.6692935,4:15,6.175457748,-2.312399029,6.441530293,-44.37734918,-0.537698261,4.068496407,0.445869075,1.222305636,72.97816858,-10.53073359,4.247172017,0.476546249,,,,,,,,,,,,-1.154135834,0.417015628,2.064284153,50.00242328,5.997980054,-7.11532668,-115.4590086,-5.624297575,-1.537975864,23.85322855,-31.61355717,GCU,NU,Sloan Park,MLB,College Baseball,79.20465396,6.529261343,-0.7235,-0.021626603,-1.405512689,,,,,,837216,7bbd1e19-f427-315b-bc38-79857158b1c0
89,2/16/2026,1:15:09,6,3,"Frey, Chase",833384,Left,GCU,"Carey, Dylan",822406,Right,NU,Undefined,3,Top,2,1,1,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.96411828,-1.340590873,2.812781949,1921.831242,139.7819417,10:45,6.320107984,-2.40300786,6.349098632,-23.75453329,8.619426759,-17.43279649,3.106455255,-1.264768282,84.15192328,-5.830180401,-0.495754398,0.409514633,89.56372602,48.7086262,43.98634407,4135.403064,75.80178186,100.1243381,80.43404383,300.5722977,253.0533467,46.53976672,5.697151367,10.35085482,5.117394391,2.207531402,50.00557935,6.211829285,-6.039695447,-133.786228,-3.861025597,18.75270182,29.06247942,-22.90932156,GCU,NU,Sloan Park,MLB,College Baseball,92.01478741,7.812194997,0.465680503,3.050041286,1.191664676,114,4.183877945,0.465680503,3.050041286,1.191664676,837216,10ac3ef0-d4d5-3aab-bde8-e3461bacd9ce
90,2/16/2026,1:15:36,6,4,"Frey, Chase",833384,Left,GCU,"Carey, Dylan",822406,Right,NU,Undefined,3,Top,2,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Strikeout,1,0,,81.30129942,-2.071985807,2.900010684,2100.319911,303.9070862,4:15,6.406448895,-2.013818027,6.432683809,-42.59673795,-0.795400638,4.222789504,0.951860085,1.005305218,74.64346629,-10.07031537,3.703010781,0.465335943,,,,,,,,,,,,-1.432595763,0.211888685,1.805839147,50.00072491,6.239244815,-6.098734033,-118.1537853,-5.422158463,-2.004448983,24.59704876,-31.87281929,GCU,NU,Sloan Park,MLB,College Baseball,81.09930852,6.657833132,-0.7235,0.470027509,-1.177616403,,,9.711679089,5.021403117,3.507155471,837216,6f2468e0-e320-3e18-a59e-1c294dcabcbd
91,2/16/2026,1:18:07,1,1,"Blachowicz, Gavin",830159,Right,NU,"Bates, Camden",806492,Right,GCU,Undefined,3,Bottom,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.66783699,-4.193764577,-3.63447181,2516.27712,214.9360274,1:15,5.698855945,2.091303066,6.819840815,-13.09959291,20.13294387,10.58607793,0.775006657,-0.346364318,82.60874428,-6.66547242,-1.613675,0.414909385,,,,,,,,,,,,-7.006696061,12.49748502,-1.862415728,50.00009823,5.422489096,8.117958335,-132.8058327,-10.14813128,-12.31841942,32.59422564,-10.19798861,GCU,NU,Sloan Park,MLB,College Baseball,91.59433396,9.059092706,-0.7235,0.41894162,0.427514198,,,,,,837216,b5586a7d-69b0-3c23-9778-7da556280f17
92,2/16/2026,1:18:22,1,2,"Blachowicz, Gavin",830159,Right,NU,"Bates, Camden",806492,Right,GCU,Undefined,3,Bottom,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.18961367,-3.951955768,-2.790068813,2342.540429,212.6176399,1:00,5.711491575,2.196016751,6.914443843,-11.66986832,21.74941367,11.73697114,1.135028257,0.631535496,82.38599042,-6.158619685,-0.550004633,0.416073512,,,,,,,,,,,,-7.336909865,13.24457015,-2.026814554,50.00346696,5.458416715,6.095157733,-132.2854692,-9.49786122,-12.83799177,31.57776474,-9.001802466,GCU,NU,Sloan Park,MLB,College Baseball,91.49673039,8.803623257,-0.7235,0.822290599,-0.607618019,,,,,,837216,a2bc5caa-0f45-3ddb-96f9-21df69c9acd3
93,2/16/2026,1:18:39,1,3,"Blachowicz, Gavin",830159,Right,NU,"Bates, Camden",806492,Right,GCU,Undefined,3,Bottom,0,2,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,92.15114408,-3.209176851,-3.099663264,2529.79655,214.1097191,1:15,5.644894334,2.393697593,6.760626451,-12.75216557,19.72473521,11.46427216,1.64863514,0.515650194,83.80729648,-5.615821218,-0.920343048,0.410165191,104.7703522,-25.86240963,-157.5173477,4342.097263,,,,2.489886546,2.232659378,-131.6732434,0.434024414,-7.205701768,11.80779084,-2.196817132,50.00542828,5.42933352,6.89649829,-133.8120173,-7.901131461,-12.99938996,30.3145772,-10.87911776,GCU,NU,Sloan Park,MLB,College Baseball,92.56017785,8.343847603,1.525714439,1.653711156,-0.543193603,2,0.022908926,1.525714439,1.653711156,-0.543193603,837216,b30ec2b7-c445-30a6-979d-f09baeb7ac0a
94,2/16/2026,1:19:04,1,4,"Blachowicz, Gavin",830159,Right,NU,"Bates, Camden",806492,Right,GCU,Undefined,3,Bottom,0,2,1,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,92.25025934,-2.750406781,-4.170487821,2675.107497,211.9443612,1:00,5.76617441,2.355832725,6.91304265,-10.13066906,22.04137813,12.80232112,2.415821678,-0.381532527,84.50993651,-4.651206941,-1.752121034,0.408235586,85.99698318,42.15418643,50.01498968,3380.16031,62.66604834,83.48901752,90.6844138,278.8669524,221.7289458,58.02439985,5.470204102,-8.121734215,12.85343628,-2.10039683,50.00231567,5.588840006,9.372255936,-133.9344533,-6.760598139,-14.82236125,27.69157512,-8.716730589,GCU,NU,Sloan Park,MLB,College Baseball,93.25996291,7.740322829,1.178534586,2.413889449,0.296889941,95,3.698768973,1.178534586,2.413889449,0.296889941,837216,23288905-16f5-3d3a-bad8-6cdc646a6da3
95,2/16/2026,1:19:27,1,5,"Blachowicz, Gavin",830159,Right,NU,"Bates, Camden",806492,Right,GCU,Undefined,3,Bottom,0,2,2,Fastball,Fastball,StrikeCalled,Strikeout,Undefined,Strikeout,1,0,,92.61678855,-2.944217481,-4.244639764,2539.229827,218.1996015,1:15,5.669178717,1.881189619,6.847585454,-12.65515234,19.12809616,12.22782427,1.928111976,-0.976852372,85.34054977,-5.310856921,-1.941394342,0.405761328,,,,,,,,,,,,-7.750941342,11.25582756,-1.616271674,50.00597113,5.475245457,9.601337244,-134.4760287,-7.3251473,-14.34023148,26.4422734,-11.3567782,GCU,NU,Sloan Park,MLB,College Baseball,93.71695255,7.276238774,-0.7235,1.643964359,1.074977294,,,,,,837216,3ee7b4d7-29cf-3e7f-916f-f1d767d09347
96,2/16/2026,1:19:55,2,1,"Blachowicz, Gavin",830159,Right,NU,"Nielsen, Jarret",828241,Right,GCU,Undefined,3,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.86439709,3.936490247,0.134257364,2322.143821,52.72462291,7:45,5.726307904,2.368987311,6.433016049,-45.76516363,-5.414992077,-8.642447988,5.535742927,1.77216218,75.84500115,-4.669930773,-1.494124062,0.457187349,,,,,,,,,,,,4.754609299,-3.877961803,-2.37439139,50.0059083,5.983989396,-0.040661667,-119.106523,6.933522175,6.937092234,19.58019433,-37.83855251,GCU,NU,Sloan Park,MLB,College Baseball,82.54551933,6.019395941,-0.7235,5.319292267,-1.704408715,,,,,,837216,66811e09-b517-36b1-b90f-e2927453bdbf
97,2/16/2026,1:20:11,2,2,"Blachowicz, Gavin",830159,Right,NU,"Nielsen, Jarret",828241,Right,GCU,Undefined,3,Bottom,1,1,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.97386823,-1.221714246,-4.239564674,2412.968074,198.0736361,12:30,5.672019215,2.698405677,6.774157034,-28.69965038,7.769674353,1.755245801,2.164998717,-1.032948558,80.3911217,-6.569599766,-3.911084089,0.434645685,,,,,,,,,,,,-1.893454249,4.532572455,-2.423289425,50.00332821,5.578821341,9.218746506,-125.0488626,-3.507997064,-3.060564114,20.38764771,-24.85062209,GCU,NU,Sloan Park,MLB,College Baseball,87.37627377,5.582746532,-0.7235,1.814988519,1.234530913,,,,,,837216,5e442c5c-3291-318a-8681-2f86a0f12c5b
98,2/16/2026,1:20:26,2,3,"Blachowicz, Gavin",830159,Right,NU,"Nielsen, Jarret",828241,Right,GCU,Undefined,3,Bottom,1,1,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.19182472,-1.334986323,-3.024274046,2395.698506,216.5905812,1:15,5.66474493,2.196536102,6.671647209,-14.64635155,17.06273035,7.305232719,3.222849615,0.036226644,85.59632671,-4.081527933,-1.651368423,0.405287627,,,,,,,,,,,,-4.679251217,9.634873807,-1.997869937,50.002301,5.568502831,6.864820729,-134.2453114,-3.588672328,-8.693091363,24.22679747,-14.27454316,GCU,NU,Sloan Park,MLB,College Baseball,93.52860788,6.595498014,-0.7235,2.997673589,0.050297103,,,,,,837216,147fbb4b-1a16-31dd-97fe-b95fde4be16c
99,2/16/2026,1:20:42,2,4,"Blachowicz, Gavin",830159,Right,NU,"Nielsen, Jarret",828241,Right,GCU,Undefined,3,Bottom,1,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.37116314,-1.898298204,-5.447803499,2579.824772,217.4285188,1:15,5.672060634,2.199676202,6.768538136,-12.46555899,18.7750167,12.94300598,2.899449348,-1.711116195,86.14849174,-4.22775405,-3.020074231,0.402282394,,,,,,,,,,,,-8.389141786,10.77802408,-1.850161928,50.00265582,5.542081582,12.51361269,-135.4629368,-4.897674041,-15.79836347,25.89891609,-11.87824717,GCU,NU,Sloan Park,MLB,College Baseball,94.39013474,7.222671404,-0.7235,2.732549864,1.826259989,,,,,,837216,64cfb602-c99c-39e1-abb9-cd4016cfeff9
100,2/16/2026,1:20:58,2,5,"Blachowicz, Gavin",830159,Right,NU,"Nielsen, Jarret",828241,Right,GCU,Undefined,3,Bottom,1,2,2,Cutter,Cutter,StrikeSwinging,Strikeout,Undefined,Strikeout,1,0,,86.45439102,-0.00465573,-1.945267593,2351.412197,185.3562771,12:15,5.603168942,2.529328318,6.654300372,-29.94808044,6.202909451,-4.856692343,3.103304887,0.343940092,80.20411939,-5.631683486,-2.860185015,0.432744551,,,,,,,,,,,,2.182989546,3.395251704,-2.396518337,50.00313116,5.588675833,4.420433105,-125.9848278,-0.882474699,3.552251002,22.66368332,-26.65164703,GCU,NU,Sloan Park,MLB,College Baseball,87.56519026,6.250271629,-0.7235,2.77877808,-0.183410607,,,,,,837216,393045f1-3801-3632-9bec-4ccc0cb77d77
101,2/16/2026,1:21:29,3,1,"Blachowicz, Gavin",830159,Right,NU,"Bianchina, Vince",812437,Left,GCU,Undefined,3,Bottom,2,0,0,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,87.71376557,-2.132661037,-4.515172686,2117.013946,231.8622329,1:45,5.502885045,2.328920022,7.04777122,-23.25938164,12.07708914,11.92249696,1.627142925,-0.78700816,81.22659449,-6.482777139,-2.273629099,0.427841687,,,,,,,,,,,,-7.613890907,7.164745979,-2.062257352,50.00563035,5.363422592,9.710365046,-127.4115479,-5.442298211,-12.67868095,23.09581996,-20.24857936,GCU,NU,Sloan Park,MLB,College Baseball,89.20966806,6.487171087,-0.7235,1.324130253,0.887950564,,,,,,837216,3e1593c5-f171-35b1-afec-3d296572258d
102,2/16/2026,1:21:47,3,2,"Blachowicz, Gavin",830159,Right,NU,"Bianchina, Vince",812437,Left,GCU,Undefined,3,Bottom,2,1,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.5647502,-3.145490938,-3.602647194,2561.590815,220.7927586,1:15,5.561682552,2.323081116,6.849684261,-14.06631832,17.69352942,14.41126997,1.519124401,0.235196946,85.42856652,-5.778528917,-0.885445306,0.405611927,103.8867641,6.079083095,-5.844691174,1522.79256,109.6217468,3.474990775,-14.77843357,140.920421,140.795283,-8.435856169,1.469842773,-8.776756133,10.50217892,-2.100327343,50.00527769,5.35442608,8.02002265,-134.4848474,-7.839653715,-16.25088324,26.24562164,-12.7355519,GCU,NU,Sloan Park,MLB,College Baseball,93.75448157,7.136183687,1.149488684,1.482072907,-0.048596309,5,1.062765956,1.149488684,1.482072907,-0.048596309,837216,4e593116-9091-3a6f-8983-e00e02a6884f
103,2/16/2026,1:24:10,1,1,"Frey, Chase",833384,Left,GCU,"Buettenback, Max",822404,Left,NU,Undefined,4,Top,0,0,0,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.07250602,1.45038636,-0.161490433,2060.688617,294.5128904,3:45,6.207900698,-2.402433811,6.082250464,-48.01405637,-3.559435271,5.676703259,3.548809532,-2.078775709,72.40401334,-7.581708102,0.9117156,0.479877036,,,,,,,,,,,,-3.148598209,-2.316705856,2.412196588,50.00334968,6.297008425,0.17182488,-113.7730564,1.621692748,-4.162676542,19.20976686,-35.23677036,GCU,NU,Sloan Park,MLB,College Baseball,78.14530849,5.668492682,-0.7235,3.110769416,2.026433064,,,,,,837216,befa4f00-60f4-3725-b738-58398b9e1059
104,2/16/2026,1:24:46,2,1,"Frey, Chase",833384,Left,GCU,"Kitchens, Cole",837716,Right,NU,Undefined,4,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.43166349,-3.134892903,4.316072386,1899.252278,144.2534933,10:45,6.647185975,-1.994096024,6.529787582,-15.75790127,18.03111815,-5.206544195,2.455749684,1.538398848,82.39282707,-6.093129344,3.329789553,0.418368816,,,,,,,,,,,,4.117938704,10.87117143,1.697016961,50.00162429,6.421873373,-9.742494518,-131.1502004,-7.671760526,7.140945782,28.92605278,-13.32206559,GCU,NU,Sloan Park,MLB,College Baseball,90.36413698,8.038836418,-0.7235,2.175173636,-1.687697847,,,,,,837216,65a3469b-5c3b-3f6d-a4a0-b3b0606a439d
105,2/16/2026,1:25:03,2,2,"Frey, Chase",833384,Left,GCU,"Kitchens, Cole",837716,Right,NU,Undefined,4,Top,0,1,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.43025497,-1.741649444,3.700572429,1857.184545,138.2220543,10:30,6.213995621,-2.303588911,6.650809257,-23.13961418,10.38564894,-11.66629176,2.69146021,0.115419719,82.80558928,-6.105186542,1.490749281,0.416732728,90.77417275,27.18827862,7.418330247,1979.297624,108.8920411,49.08428736,19.81175767,324.1198193,316.6789413,16.34458646,4.843879883,7.426055608,6.200306945,2.060184881,50.00115298,6.085902343,-8.148887724,-131.4221469,-4.699650286,12.99327908,27.77518571,-21.32173182,GCU,NU,Sloan Park,MLB,College Baseball,90.92119689,7.624665681,1.382080905,2.689266446,-0.134226037,63,4.283440948,1.382080905,2.689266446,-0.134226037,837216,e495adbb-54ca-33cc-9381-b979b2e0d22a
106,2/16/2026,1:25:38,3,1,"Frey, Chase",833384,Left,GCU,"Nunez, Devin",830147,Left,NU,Undefined,4,Top,1,0,0,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Single ,0,0,,90.28917051,-2.445287637,3.84410944,1941.254029,138.6083197,10:30,6.320893329,-2.173592464,6.487919723,-24.79153242,9.025415143,-13.65420624,2.008855478,0.222697762,82.41391105,-7.119125771,1.251661753,0.41854168,112.6565636,-3.711907962,2.943315609,1748.452204,,,,25.71614105,24.3753712,2.271419885,0.577639648,8.617191954,5.702013607,1.910645432,50.00355475,6.137736953,-8.400597947,-131.0976574,-6.350498012,14.93254623,28.89221217,-22.29233685,GCU,NU,Sloan Park,MLB,College Baseball,90.25864987,7.875259459,0.926263968,1.981764763,-0.254334683,2,0.14695096,0.926263968,1.981764763,-0.254334683,837216,593fba87-d0d4-376c-8923-862bc24b195c
107,2/16/2026,1:29:16,4,1,"Lee, Aidan",825764,Right,GCU,"Jesske, Will",822405,Right,NU,Undefined,4,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.91522271,-1.170573734,-3.443132735,2315.399206,96.98039342,9:15,5.903714136,2.994393103,5.745428741,-36.55448072,2.034551171,-3.460383469,1.767986143,-0.503157098,77.99388211,-8.005395589,-4.094574263,0.447098747,,,,,,,,,,,,1.024993707,1.427146967,-2.70708643,50.00599723,5.789604265,7.442803211,-122.0848358,-3.527042002,1.5615081,22.01010801,-30.00789823,GCU,NU,Sloan Park,MLB,College Baseball,83.36329898,5.921340605,-0.7235,1.395281888,0.688797681,,,,,,837216,fe9ad25c-18b2-368c-933b-36d5f5d4ec08
108,2/16/2026,1:29:48,4,2,"Lee, Aidan",825764,Right,GCU,"Jesske, Will",822405,Right,NU,Undefined,4,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.29048388,-2.822803507,-5.813090296,2506.050607,87.05289895,9:00,5.811794671,3.003612585,5.998913583,-36.81399755,0.893864596,-4.4638681,0.126506057,-2.772853857,79.54900105,-9.613849131,-6.647396708,0.441964581,,,,,,,,,,,,0.96191101,1.296240509,-2.543318638,50.0004983,5.571481507,12.70437885,-123.5406472,-7.166037581,1.497078595,22.71323803,-30.14840819,GCU,NU,Sloan Park,MLB,College Baseball,84.7189421,5.741482825,-0.7235,-0.431612034,3.146764663,,,,,,837216,a3ab51a1-cb84-3e15-b140-6e21b88e00e7
109,2/16/2026,1:30:23,4,3,"Lee, Aidan",825764,Right,GCU,"Jesske, Will",822405,Right,NU,Undefined,4,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.64148551,-0.151741844,-4.376354523,2308.779977,68.90311053,8:15,5.249057447,3.314482681,6.158206016,-41.1544942,2.806799768,-12.19580419,1.679393199,-1.752329859,73.40458293,-7.822536073,-6.658507896,0.477206933,,,,,,,,,,,,5.586987452,1.579658494,-2.976855012,50.00551948,5.218073784,9.070694724,-114.3191619,-1.38928762,7.472283465,18.99666901,-30.06579911,GCU,NU,Sloan Park,MLB,College Baseball,78.68879446,5.236902576,-0.7235,1.337594734,2.036156313,,,,,,837216,b2be1266-432d-39da-9218-d42c428384c4
110,2/16/2026,1:30:40,4,4,"Lee, Aidan",825764,Right,GCU,"Jesske, Will",822405,Right,NU,Undefined,4,Top,1,2,1,Slider,Slider,InPlay,Undefined,GroundBall,Single ,0,2,,83.86641764,-1.044821128,-3.534775586,2472.949246,65.40603628,8:15,5.755350869,3.166119996,6.164772085,-39.58796101,-1.259055034,-5.11248762,1.491298898,-0.528743788,78.72590866,-8.406205748,-4.492072719,0.445589269,99.13806735,0.888164564,1.3534166,139.8249629,,,,57.46719398,53.33573518,2.161101525,0.850104611,1.991484315,-0.437411118,-2.896092553,50.00333302,5.657325753,7.685835601,-122.0765999,-3.352448441,3.060425881,19.92047317,-32.84830248,GCU,NU,Sloan Park,MLB,College Baseball,84.28350282,5.140508975,1.645933182,1.581357592,0.38893125,2,0.375520229,1.645933182,1.581357592,0.38893125,837216,6d5a421e-684a-3b67-9aaa-8191e519e336
111,2/16/2026,1:31:18,5,1,"Lee, Aidan",825764,Right,GCU,"Miller, Miken",837720,Left,NU,Undefined,4,Top,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.94486858,-1.052078418,-2.073936501,2417.163857,91.7294399,9:00,5.763596811,3.053321763,5.599092961,-35.0872991,1.309332572,-4.012411469,1.858018034,0.782199723,80.48800432,-7.599896987,-2.82759324,0.434212287,,,,,,,,,,,,1.723973092,0.955523448,-2.874044588,50.00145083,5.657354558,4.652765889,-125.2603101,-3.322409899,2.78973673,20.9091562,-30.62565923,GCU,NU,Sloan Park,MLB,College Baseball,85.60862509,5.456864268,-0.7235,1.445224013,-0.632417987,,,,,,837216,7afd4a92-b414-3203-8918-e028113a5e45
112,2/16/2026,1:31:37,5,2,"Lee, Aidan",825764,Right,GCU,"Miller, Miken",837720,Left,NU,Undefined,4,Top,1,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Single ,0,0,,95.67077167,-2.740286548,-4.623185014,2306.303592,237.4021106,2:00,5.779182284,3.006500314,5.681144994,-20.42839309,9.570753304,16.32871402,1.520926547,0.048580617,87.71446549,-6.574723456,-1.536855896,0.394208478,111.1683926,-6.024083317,-20.1396901,2026.182199,,,,12.54713175,11.56340305,-19.80024827,0.480514768,-10.20278304,6.046467185,-2.624675412,50.00453607,5.538677887,10.70439473,-138.8010249,-7.312385979,-19.96225883,30.30071332,-20.34871525,GCU,NU,Sloan Park,MLB,College Baseball,94.44303727,7.956306183,0.202624153,1.404533766,0.004865444,1,0.071247101,0.202624153,1.404533766,0.004865444,837216,f66a276a-8efe-3e57-b9b4-ec435d295961
