id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,2025-10-17,16:50:29,3,4,"Moeller, Luke",703666,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,4,Top,2,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.85155,-0.978389,-4.735511,2487.943293,88.514146,09:00:00,5.96364,3.1837,5.50724,-45.03211,1.35406,-8.50036,1.29275,-1.96341,72.07584,-9.166854,-6.242255,0.490191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79425,1.48862,-2.76377,50,5.84803,9.77656,-113.97945,-3.4536,3.63153,23.30818,-30.23938,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251017-BrazellField-Private-1,10673e70-abb4-11f0-89e1-4103db18a83a,76.89332,NA,NA,6.77571,NA,NA,NA,NA,NA,NA,0883475b-c7e0-4e43-b2aa-267a3d414657,2025-10-17,23:50:29,2025-10-17T23:50:29Z,2025-10-17T23:50:29Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,bd93399f-9183-49b5-b9a8-e60f0d7776fd,54.99023,-114.99539,11.65409,5.96984,-2.13553,-15.11969,-3.18646,9.61827,1.81576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,2025-10-17,16:50:47,3,5,"Moeller, Luke",703666,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,4,Top,2,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.89254,0.360432,-4.653745,2628.627986,73.605287,08:30:00,5.91567,3.49475,5.39046,-46.97121,-1.74996,-10.96359,2.34033,-1.79015,73.10127,-8.164131,-6.591166,0.483997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0763,-0.51528,-3.07043,50,5.91516,9.84922,-115.54708,-0.90175,5.46139,23.33598,-32.8644,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251017-BrazellField-Private-1,1b7e9970-abb4-11f0-89e1-4103db18a83a,77.87743,NA,NA,6.79126,NA,NA,NA,NA,NA,NA,0883475b-c7e0-4e43-b2aa-267a3d414657,2025-10-17,23:50:47,2025-10-17T23:50:47Z,2025-10-17T23:50:47Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,0b86a32b-09b3-4678-ac8f-33b0b7cf478c,55.10818,-116.57417,11.66799,5.92302,0.54471,-16.4322,-3.49864,9.60885,2.7307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,2025-10-17,16:51:07,3,6,"Moeller, Luke",703666,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,4,Top,2,3,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,78.55513,0.377289,-3.574983,2570.981604,92.92972,09:00:00,5.92183,3.54716,5.51805,-44.42014,2.18205,-11.58879,2.57362,-0.76555,71.52777,-7.751514,-5.632942,0.491332,86.86839,31.562963,-19.048206,3029.906722,103.72047,59.00797,-36.63397,325.59754,320.95085,-21.252773,4.722248,4.75642,1.40571,-3.22736,50,5.92502,7.55173,-113.74727,-0.70339,6.14735,23.49868,-30.35727,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251017-BrazellField-Private-1,2780c9a0-abb4-11f0-89e1-4103db18a83a,76.71488,74.31368,NA,7.02736,NA,NA,NA,2.06427,2.72454,0.72245,0883475b-c7e0-4e43-b2aa-267a3d414657,2025-10-17,23:51:07,2025-10-17T23:51:07Z,2025-10-17T23:51:07Z,FlyBall,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,48e0f7c2-9537-448d-a6c6-37d63a671429,54.98095,-114.77166,11.74934,5.92683,0.61999,-15.17864,-3.55073,7.28375,3.07367,167.348359,2.06602,102.57732,-18.07562,4.06484,-0.70813,0.08773,-0.00918,0.00117,-9e-5,2.72441,66.68706,-17.075,0.76997,0.06608,-0.0973,0.03505,-0.00559,3.3e-4,0.72201,-35.4216,3.8361,-0.51887,0.0332,1.9e-4,0.00159,-5.3e-4,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,2025-10-17,17:00:38,5,1,"Lewis, JT",1000472213,Left,GRA_CAN,"Nielsen, Jarret",1000342937,Right,GRA_CAN,Undefined,4,Bottom,2,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,78.68211,-0.123599,2.971872,1449.599611,94.340841,09:15:00,5.46294,-0.67775,6.38154,-42.11014,2.72339,-15.22824,1.8399,0.78962,71.4981,-7.981593,0.213083,0.481918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9076,1.8991,0.47037,50,5.43479,-5.39766,-114.1874,-1.44986,11.6039,23.64366,-29.70012,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251017-BrazellField-Private-1,7b734eb0-abb5-11f0-89e1-4103db18a83a,78.21342,NA,NA,7.18402,NA,NA,NA,NA,NA,NA,0883475b-c7e0-4e43-b2aa-267a3d414657,2025-10-18,00:00:38,2025-10-18T00:00:38Z,2025-10-18T00:00:38Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,de2518a3-5c55-45ca-84e4-27b235a86e1d,54.11782,-115.03688,11.82183,5.46771,-0.38279,-14.85006,0.67178,-5.81457,5.80195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
